geographic_Region,population,surface_area_km,pop_density_km,,
Villa Hermosa,77241.00,19.90,3882.00,,
Cumayasa (D.M.),11963.00,97.70,122.00,,
Región Higuamo,561431.00,5175.30,108.00,,
Provincia San Pedro de Macorís,290458.00,1254.30,232.00,,
Municipio San Pedro de Macorís,195307.00,146.70,1331.00,,
San Pedro de Macorís,195307.00,146.70,1331.00,,
Municipio Los Llanos,22573.00,439.80,51.00,,
Los Llanos,14901.00,284.00,52.00,,
El Puerto (D.M.),4167.00,123.20,34.00,,
Gautier (D.M.),3505.00,32.60,107.00,,
Municipio Ramón Santana,8901.00,250.80,35.00,,
Ramón Santana,8901.00,250.80,35.00,,
Municipio Consuelo,30051.00,131.90,228.00,,
Consuelo,30051.00,131.90,228.00,,
Municipio Quisqueya,19034.00,149.50,127.00,,
Quisqueya,19034.00,149.50,127.00,,
Municipio Guayacanes,14592.00,135.70,108.00,,
Guayacanes,14592.00,135.70,108.00,,
Provincia Monte Plata,185956.00,2601.60,71.00,,
Municipio Monte Plata,46723.00,631.10,74.00,,
Monte Plata,26192.00,264.40,99.00,,
Don Juan (D.M.),7313.00,102.90,71.00,,
Chirino (D.M.),7951.00,127.20,63.00,,
Boyá (D.M.),5267.00,136.70,39.00,,
Municipio Bayaguana,31889.00,873.00,37.00,,
Bayaguana,31889.00,873.00,37.00,,
Municipio Sabana Grande de Boyá,31096.00,527.30,59.00,,
Sabana Grande de Boyá,23630.00,216.90,109.00,,
Gonzalo (D.M.),5222.00,207.70,25.00,,
Majagual (D.M.),2244.00,102.60,22.00,,
Municipio Yamasá,55348.00,434.20,127.00,,
Yamasá,29198.00,260.30,112.00,,
Los Botados (D.M.),16228.00,68.50,237.00,,
Mamá Tingó (D.M.),9922.00,105.50,94.00,,
Municipio Peralvillo,20900.00,136.00,154.00,,
Peralvillo,20900.00,136.00,154.00,,
Provincia Hato Mayor,85017.00,1319.30,64.00,,
Municipio Hato Mayor,61517.00,643.90,96.00,,
Hato Mayor,44900.00,269.60,167.00,,
Yerba Buena (D.M.),3244.00,134.70,24.00,,
Mata Palacio (D.M.),5393.00,149.80,36.00,,
Guayabo Dulce (D.M.),7980.00,89.70,89.00,,
Municipio Sabana de la Mar,16272.00,512.60,32.00,,
Sabana de la Mar,13723.00,362.40,38.00,,
Elupina Cordero de las Cañitas (D.M.),2549.00,150.20,17.00,,
Municipio El Valle,7228.00,162.80,44.00,,
El Valle,7228.00,162.80,44.00,,
