province,year,week,ndvi_mean,lst_day_mean,lst_night_mean
30 Hato Mayor,2017,33,,,
31 San José de Ocoa,2017,33,,,
32 Santo Domingo,2017,33,,,
01 Distrito Nacional,2017,34,,,
02 Azua,2017,34,,,
03 Baoruco,2017,34,,,
04 Barahona,2017,34,,,
05 Dajabón,2017,34,,,
06 Duarte,2017,34,,,
07 Elías Piña,2017,34,,,
08 El Seibo,2017,34,,,
09 Espaillat,2017,34,,,
10 Independencia,2017,34,,,
11 La Altagracia,2017,34,,,
12 La Romana,2017,34,,,
13 La Vega,2017,34,,,
14 María Trinidad Sánchez,2017,34,,,
15 Monte Cristi,2017,34,,,
16 Pedernales,2017,34,,,
17 Peravia,2017,34,,,
18 Puerto Plata,2017,34,,,
19 Hermanas Mirabal,2017,34,,,
20 Samaná,2017,34,,,
21 San Cristóbal,2017,34,,,
22 San Juan,2017,34,,,
23 San Pedro de Macorís,2017,34,,,
24 Sánchez Ramírez,2017,34,,,
25 Santiago,2017,34,,,
26 Santiago Rodríguez,2017,34,,,
27 Valverde,2017,34,,,
28 Monseñor Nouel,2017,34,,,
29 Monte Plata,2017,34,,,
30 Hato Mayor,2017,34,,,
31 San José de Ocoa,2017,34,,,
32 Santo Domingo,2017,34,,,
01 Distrito Nacional,2017,35,,,
02 Azua,2017,35,,,
03 Baoruco,2017,35,,,
04 Barahona,2017,35,,,
05 Dajabón,2017,35,,,
06 Duarte,2017,35,,,
07 Elías Piña,2017,35,,,
08 El Seibo,2017,35,,,
09 Espaillat,2017,35,,,
10 Independencia,2017,35,,,
11 La Altagracia,2017,35,,,
12 La Romana,2017,35,,,
13 La Vega,2017,35,,,
14 María Trinidad Sánchez,2017,35,,,
15 Monte Cristi,2017,35,,,
16 Pedernales,2017,35,,,
17 Peravia,2017,35,,,
18 Puerto Plata,2017,35,,,
19 Hermanas Mirabal,2017,35,,,
20 Samaná,2017,35,,,
21 San Cristóbal,2017,35,,,
22 San Juan,2017,35,,,
23 San Pedro de Macorís,2017,35,,,
24 Sánchez Ramírez,2017,35,,,
25 Santiago,2017,35,,,
26 Santiago Rodríguez,2017,35,,,
27 Valverde,2017,35,,,
28 Monseñor Nouel,2017,35,,,
29 Monte Plata,2017,35,,,
30 Hato Mayor,2017,35,,,
31 San José de Ocoa,2017,35,,,
32 Santo Domingo,2017,35,,,
01 Distrito Nacional,2017,36,,,
02 Azua,2017,36,,,
03 Baoruco,2017,36,,,
04 Barahona,2017,36,,,
05 Dajabón,2017,36,,,
06 Duarte,2017,36,,,
07 Elías Piña,2017,36,,,
08 El Seibo,2017,36,,,
09 Espaillat,2017,36,,,
10 Independencia,2017,36,,,
11 La Altagracia,2017,36,,,
12 La Romana,2017,36,,,
13 La Vega,2017,36,,,
14 María Trinidad Sánchez,2017,36,,,
15 Monte Cristi,2017,36,,,
16 Pedernales,2017,36,,,
17 Peravia,2017,36,,,
18 Puerto Plata,2017,36,,,
19 Hermanas Mirabal,2017,36,,,
20 Samaná,2017,36,,,
21 San Cristóbal,2017,36,,,
22 San Juan,2017,36,,,
23 San Pedro de Macorís,2017,36,,,
24 Sánchez Ramírez,2017,36,,,
25 Santiago,2017,36,,,
26 Santiago Rodríguez,2017,36,,,
27 Valverde,2017,36,,,
28 Monseñor Nouel,2017,36,,,
29 Monte Plata,2017,36,,,
30 Hato Mayor,2017,36,,,
31 San José de Ocoa,2017,36,,,
32 Santo Domingo,2017,36,,,
01 Distrito Nacional,2017,37,,,
02 Azua,2017,37,,,
03 Baoruco,2017,37,,,
04 Barahona,2017,37,,,
05 Dajabón,2017,37,,,
06 Duarte,2017,37,,,
07 Elías Piña,2017,37,,,
08 El Seibo,2017,37,,,
09 Espaillat,2017,37,,,
10 Independencia,2017,37,,,
11 La Altagracia,2017,37,,,
12 La Romana,2017,37,,,
13 La Vega,2017,37,,,
14 María Trinidad Sánchez,2017,37,,,
15 Monte Cristi,2017,37,,,
16 Pedernales,2017,37,,,
17 Peravia,2017,37,,,
18 Puerto Plata,2017,37,,,
19 Hermanas Mirabal,2017,37,,,
20 Samaná,2017,37,,,
21 San Cristóbal,2017,37,,,
22 San Juan,2017,37,,,
23 San Pedro de Macorís,2017,37,,,
24 Sánchez Ramírez,2017,37,,,
25 Santiago,2017,37,,,
26 Santiago Rodríguez,2017,37,,,
27 Valverde,2017,37,,,
28 Monseñor Nouel,2017,37,,,
29 Monte Plata,2017,37,,,
30 Hato Mayor,2017,37,,,
31 San José de Ocoa,2017,37,,,
32 Santo Domingo,2017,37,,,
01 Distrito Nacional,2017,38,,,
02 Azua,2017,38,,,
03 Baoruco,2017,38,,,
04 Barahona,2017,38,,,
05 Dajabón,2017,38,,,
06 Duarte,2017,38,,,
07 Elías Piña,2017,38,,,
08 El Seibo,2017,38,,,
09 Espaillat,2017,38,,,
10 Independencia,2017,38,,,
11 La Altagracia,2017,38,,,
12 La Romana,2017,38,,,
13 La Vega,2017,38,,,
14 María Trinidad Sánchez,2017,38,,,
15 Monte Cristi,2017,38,,,
16 Pedernales,2017,38,,,
17 Peravia,2017,38,,,
18 Puerto Plata,2017,38,,,
19 Hermanas Mirabal,2017,38,,,
20 Samaná,2017,38,,,
21 San Cristóbal,2017,38,,,
22 San Juan,2017,38,,,
23 San Pedro de Macorís,2017,38,,,
24 Sánchez Ramírez,2017,38,,,
25 Santiago,2017,38,,,
26 Santiago Rodríguez,2017,38,,,
27 Valverde,2017,38,,,
28 Monseñor Nouel,2017,38,,,
29 Monte Plata,2017,38,,,
30 Hato Mayor,2017,38,,,
31 San José de Ocoa,2017,38,,,
32 Santo Domingo,2017,38,,,
01 Distrito Nacional,2017,39,,,
02 Azua,2017,39,,,
03 Baoruco,2017,39,,,
04 Barahona,2017,39,,,
05 Dajabón,2017,39,,,
06 Duarte,2017,39,,,
07 Elías Piña,2017,39,,,
08 El Seibo,2017,39,,,
09 Espaillat,2017,39,,,
10 Independencia,2017,39,,,
11 La Altagracia,2017,39,,,
12 La Romana,2017,39,,,
13 La Vega,2017,39,,,
14 María Trinidad Sánchez,2017,39,,,
15 Monte Cristi,2017,39,,,
16 Pedernales,2017,39,,,
17 Peravia,2017,39,,,
18 Puerto Plata,2017,39,,,
19 Hermanas Mirabal,2017,39,,,
20 Samaná,2017,39,,,
21 San Cristóbal,2017,39,,,
22 San Juan,2017,39,,,
23 San Pedro de Macorís,2017,39,,,
24 Sánchez Ramírez,2017,39,,,
25 Santiago,2017,39,,,
26 Santiago Rodríguez,2017,39,,,
27 Valverde,2017,39,,,
28 Monseñor Nouel,2017,39,,,
29 Monte Plata,2017,39,,,
30 Hato Mayor,2017,39,,,
31 San José de Ocoa,2017,39,,,
32 Santo Domingo,2017,39,,,
01 Distrito Nacional,2017,40,,,
02 Azua,2017,40,,,
03 Baoruco,2017,40,,,
04 Barahona,2017,40,,,
05 Dajabón,2017,40,,,
06 Duarte,2017,40,,,
07 Elías Piña,2017,40,,,
08 El Seibo,2017,40,,,
09 Espaillat,2017,40,,,
10 Independencia,2017,40,,,
11 La Altagracia,2017,40,,,
12 La Romana,2017,40,,,
13 La Vega,2017,40,,,
14 María Trinidad Sánchez,2017,40,,,
15 Monte Cristi,2017,40,,,
16 Pedernales,2017,40,,,
17 Peravia,2017,40,,,
18 Puerto Plata,2017,40,,,
19 Hermanas Mirabal,2017,40,,,
20 Samaná,2017,40,,,
21 San Cristóbal,2017,40,,,
22 San Juan,2017,40,,,
23 San Pedro de Macorís,2017,40,,,
24 Sánchez Ramírez,2017,40,,,
25 Santiago,2017,40,,,
26 Santiago Rodríguez,2017,40,,,
27 Valverde,2017,40,,,
28 Monseñor Nouel,2017,40,,,
29 Monte Plata,2017,40,,,
30 Hato Mayor,2017,40,,,
31 San José de Ocoa,2017,40,,,
32 Santo Domingo,2017,40,,,
01 Distrito Nacional,2017,41,,,
02 Azua,2017,41,,,
03 Baoruco,2017,41,,,
04 Barahona,2017,41,,,
05 Dajabón,2017,41,,,
06 Duarte,2017,41,,,
07 Elías Piña,2017,41,,,
08 El Seibo,2017,41,,,
09 Espaillat,2017,41,,,
10 Independencia,2017,41,,,
11 La Altagracia,2017,41,,,
12 La Romana,2017,41,,,
13 La Vega,2017,41,,,
14 María Trinidad Sánchez,2017,41,,,
15 Monte Cristi,2017,41,,,
16 Pedernales,2017,41,,,
17 Peravia,2017,41,,,
18 Puerto Plata,2017,41,,,
19 Hermanas Mirabal,2017,41,,,
20 Samaná,2017,41,,,
21 San Cristóbal,2017,41,,,
22 San Juan,2017,41,,,
23 San Pedro de Macorís,2017,41,,,
24 Sánchez Ramírez,2017,41,,,
25 Santiago,2017,41,,,
26 Santiago Rodríguez,2017,41,,,
27 Valverde,2017,41,,,
28 Monseñor Nouel,2017,41,,,
29 Monte Plata,2017,41,,,
30 Hato Mayor,2017,41,,,
31 San José de Ocoa,2017,41,,,
32 Santo Domingo,2017,41,,,
01 Distrito Nacional,2017,42,,,
02 Azua,2017,42,,,
03 Baoruco,2017,42,,,
04 Barahona,2017,42,,,
05 Dajabón,2017,42,,,
06 Duarte,2017,42,,,
07 Elías Piña,2017,42,,,
08 El Seibo,2017,42,,,
09 Espaillat,2017,42,,,
10 Independencia,2017,42,,,
11 La Altagracia,2017,42,,,
12 La Romana,2017,42,,,
13 La Vega,2017,42,,,
14 María Trinidad Sánchez,2017,42,,,
15 Monte Cristi,2017,42,,,
16 Pedernales,2017,42,,,
17 Peravia,2017,42,,,
18 Puerto Plata,2017,42,,,
19 Hermanas Mirabal,2017,42,,,
20 Samaná,2017,42,,,
21 San Cristóbal,2017,42,,,
22 San Juan,2017,42,,,
23 San Pedro de Macorís,2017,42,,,
24 Sánchez Ramírez,2017,42,,,
25 Santiago,2017,42,,,
26 Santiago Rodríguez,2017,42,,,
27 Valverde,2017,42,,,
28 Monseñor Nouel,2017,42,,,
29 Monte Plata,2017,42,,,
30 Hato Mayor,2017,42,,,
31 San José de Ocoa,2017,42,,,
32 Santo Domingo,2017,42,,,
01 Distrito Nacional,2017,43,,,
02 Azua,2017,43,,,
03 Baoruco,2017,43,,,
04 Barahona,2017,43,,,
05 Dajabón,2017,43,,,
06 Duarte,2017,43,,,
07 Elías Piña,2017,43,,,
08 El Seibo,2017,43,,,
09 Espaillat,2017,43,,,
10 Independencia,2017,43,,,
11 La Altagracia,2017,43,,,
12 La Romana,2017,43,,,
13 La Vega,2017,43,,,
14 María Trinidad Sánchez,2017,43,,,
15 Monte Cristi,2017,43,,,
16 Pedernales,2017,43,,,
17 Peravia,2017,43,,,
18 Puerto Plata,2017,43,,,
19 Hermanas Mirabal,2017,43,,,
20 Samaná,2017,43,,,
21 San Cristóbal,2017,43,,,
22 San Juan,2017,43,,,
23 San Pedro de Macorís,2017,43,,,
24 Sánchez Ramírez,2017,43,,,
25 Santiago,2017,43,,,
26 Santiago Rodríguez,2017,43,,,
27 Valverde,2017,43,,,
28 Monseñor Nouel,2017,43,,,
29 Monte Plata,2017,43,,,
30 Hato Mayor,2017,43,,,
31 San José de Ocoa,2017,43,,,
32 Santo Domingo,2017,43,,,
01 Distrito Nacional,2017,44,,,
02 Azua,2017,44,,,
03 Baoruco,2017,44,,,
04 Barahona,2017,44,,,
05 Dajabón,2017,44,,,
06 Duarte,2017,44,,,
07 Elías Piña,2017,44,,,
08 El Seibo,2017,44,,,
09 Espaillat,2017,44,,,
10 Independencia,2017,44,,,
11 La Altagracia,2017,44,,,
12 La Romana,2017,44,,,
13 La Vega,2017,44,,,
14 María Trinidad Sánchez,2017,44,,,
15 Monte Cristi,2017,44,,,
16 Pedernales,2017,44,,,
17 Peravia,2017,44,,,
18 Puerto Plata,2017,44,,,
19 Hermanas Mirabal,2017,44,,,
20 Samaná,2017,44,,,
21 San Cristóbal,2017,44,,,
22 San Juan,2017,44,,,
23 San Pedro de Macorís,2017,44,,,
24 Sánchez Ramírez,2017,44,,,
25 Santiago,2017,44,,,
26 Santiago Rodríguez,2017,44,,,
27 Valverde,2017,44,,,
28 Monseñor Nouel,2017,44,,,
29 Monte Plata,2017,44,,,
30 Hato Mayor,2017,44,,,
31 San José de Ocoa,2017,44,,,
32 Santo Domingo,2017,44,,,
01 Distrito Nacional,2017,45,,,
02 Azua,2017,45,,,
03 Baoruco,2017,45,,,
04 Barahona,2017,45,,,
05 Dajabón,2017,45,,,
06 Duarte,2017,45,,,
07 Elías Piña,2017,45,,,
08 El Seibo,2017,45,,,
09 Espaillat,2017,45,,,
10 Independencia,2017,45,,,
11 La Altagracia,2017,45,,,
12 La Romana,2017,45,,,
13 La Vega,2017,45,,,
14 María Trinidad Sánchez,2017,45,,,
15 Monte Cristi,2017,45,,,
16 Pedernales,2017,45,,,
17 Peravia,2017,45,,,
18 Puerto Plata,2017,45,,,
19 Hermanas Mirabal,2017,45,,,
20 Samaná,2017,45,,,
21 San Cristóbal,2017,45,,,
22 San Juan,2017,45,,,
23 San Pedro de Macorís,2017,45,,,
24 Sánchez Ramírez,2017,45,,,
25 Santiago,2017,45,,,
26 Santiago Rodríguez,2017,45,,,
27 Valverde,2017,45,,,
28 Monseñor Nouel,2017,45,,,
29 Monte Plata,2017,45,,,
30 Hato Mayor,2017,45,,,
31 San José de Ocoa,2017,45,,,
32 Santo Domingo,2017,45,,,
01 Distrito Nacional,2017,46,,,
02 Azua,2017,46,,,
03 Baoruco,2017,46,,,
04 Barahona,2017,46,,,
05 Dajabón,2017,46,,,
06 Duarte,2017,46,,,
07 Elías Piña,2017,46,,,
08 El Seibo,2017,46,,,
09 Espaillat,2017,46,,,
10 Independencia,2017,46,,,
11 La Altagracia,2017,46,,,
12 La Romana,2017,46,,,
13 La Vega,2017,46,,,
14 María Trinidad Sánchez,2017,46,,,
15 Monte Cristi,2017,46,,,
16 Pedernales,2017,46,,,
17 Peravia,2017,46,,,
18 Puerto Plata,2017,46,,,
19 Hermanas Mirabal,2017,46,,,
20 Samaná,2017,46,,,
21 San Cristóbal,2017,46,,,
22 San Juan,2017,46,,,
23 San Pedro de Macorís,2017,46,,,
24 Sánchez Ramírez,2017,46,,,
25 Santiago,2017,46,,,
26 Santiago Rodríguez,2017,46,,,
27 Valverde,2017,46,,,
28 Monseñor Nouel,2017,46,,,
29 Monte Plata,2017,46,,,
30 Hato Mayor,2017,46,,,
31 San José de Ocoa,2017,46,,,
32 Santo Domingo,2017,46,,,
01 Distrito Nacional,2017,47,,,
02 Azua,2017,47,,,
03 Baoruco,2017,47,,,
04 Barahona,2017,47,,,
05 Dajabón,2017,47,,,
06 Duarte,2017,47,,,
07 Elías Piña,2017,47,,,
08 El Seibo,2017,47,,,
09 Espaillat,2017,47,,,
10 Independencia,2017,47,,,
11 La Altagracia,2017,47,,,
12 La Romana,2017,47,,,
13 La Vega,2017,47,,,
14 María Trinidad Sánchez,2017,47,,,
15 Monte Cristi,2017,47,,,
16 Pedernales,2017,47,,,
17 Peravia,2017,47,,,
18 Puerto Plata,2017,47,,,
19 Hermanas Mirabal,2017,47,,,
20 Samaná,2017,47,,,
21 San Cristóbal,2017,47,,,
22 San Juan,2017,47,,,
23 San Pedro de Macorís,2017,47,,,
24 Sánchez Ramírez,2017,47,,,
25 Santiago,2017,47,,,
26 Santiago Rodríguez,2017,47,,,
27 Valverde,2017,47,,,
28 Monseñor Nouel,2017,47,,,
29 Monte Plata,2017,47,,,
30 Hato Mayor,2017,47,,,
31 San José de Ocoa,2017,47,,,
32 Santo Domingo,2017,47,,,
01 Distrito Nacional,2017,48,,,
02 Azua,2017,48,,,
03 Baoruco,2017,48,,,
04 Barahona,2017,48,,,
05 Dajabón,2017,48,,,
06 Duarte,2017,48,,,
07 Elías Piña,2017,48,,,
08 El Seibo,2017,48,,,
09 Espaillat,2017,48,,,
10 Independencia,2017,48,,,
11 La Altagracia,2017,48,,,
12 La Romana,2017,48,,,
13 La Vega,2017,48,,,
14 María Trinidad Sánchez,2017,48,,,
15 Monte Cristi,2017,48,,,
16 Pedernales,2017,48,,,
17 Peravia,2017,48,,,
18 Puerto Plata,2017,48,,,
19 Hermanas Mirabal,2017,48,,,
20 Samaná,2017,48,,,
21 San Cristóbal,2017,48,,,
22 San Juan,2017,48,,,
23 San Pedro de Macorís,2017,48,,,
24 Sánchez Ramírez,2017,48,,,
25 Santiago,2017,48,,,
26 Santiago Rodríguez,2017,48,,,
27 Valverde,2017,48,,,
28 Monseñor Nouel,2017,48,,,
29 Monte Plata,2017,48,,,
30 Hato Mayor,2017,48,,,
31 San José de Ocoa,2017,48,,,
32 Santo Domingo,2017,48,,,
01 Distrito Nacional,2017,49,,,
02 Azua,2017,49,,,
03 Baoruco,2017,49,,,
04 Barahona,2017,49,,,
05 Dajabón,2017,49,,,
06 Duarte,2017,49,,,
07 Elías Piña,2017,49,,,
08 El Seibo,2017,49,,,
09 Espaillat,2017,49,,,
10 Independencia,2017,49,,,
11 La Altagracia,2017,49,,,
12 La Romana,2017,49,,,
13 La Vega,2017,49,,,
14 María Trinidad Sánchez,2017,49,,,
15 Monte Cristi,2017,49,,,
16 Pedernales,2017,49,,,
17 Peravia,2017,49,,,
18 Puerto Plata,2017,49,,,
19 Hermanas Mirabal,2017,49,,,
20 Samaná,2017,49,,,
21 San Cristóbal,2017,49,,,
22 San Juan,2017,49,,,
23 San Pedro de Macorís,2017,49,,,
24 Sánchez Ramírez,2017,49,,,
25 Santiago,2017,49,,,
26 Santiago Rodríguez,2017,49,,,
27 Valverde,2017,49,,,
28 Monseñor Nouel,2017,49,,,
29 Monte Plata,2017,49,,,
30 Hato Mayor,2017,49,,,
31 San José de Ocoa,2017,49,,,
32 Santo Domingo,2017,49,,,
01 Distrito Nacional,2017,50,,,
02 Azua,2017,50,,,
03 Baoruco,2017,50,,,
04 Barahona,2017,50,,,
05 Dajabón,2017,50,,,
06 Duarte,2017,50,,,
07 Elías Piña,2017,50,,,
08 El Seibo,2017,50,,,
09 Espaillat,2017,50,,,
10 Independencia,2017,50,,,
11 La Altagracia,2017,50,,,
12 La Romana,2017,50,,,
13 La Vega,2017,50,,,
14 María Trinidad Sánchez,2017,50,,,
15 Monte Cristi,2017,50,,,
16 Pedernales,2017,50,,,
17 Peravia,2017,50,,,
18 Puerto Plata,2017,50,,,
19 Hermanas Mirabal,2017,50,,,
20 Samaná,2017,50,,,
21 San Cristóbal,2017,50,,,
22 San Juan,2017,50,,,
23 San Pedro de Macorís,2017,50,,,
24 Sánchez Ramírez,2017,50,,,
25 Santiago,2017,50,,,
26 Santiago Rodríguez,2017,50,,,
27 Valverde,2017,50,,,
28 Monseñor Nouel,2017,50,,,
29 Monte Plata,2017,50,,,
30 Hato Mayor,2017,50,,,
31 San José de Ocoa,2017,50,,,
32 Santo Domingo,2017,50,,,
01 Distrito Nacional,2017,51,,,
02 Azua,2017,51,,,
03 Baoruco,2017,51,,,
04 Barahona,2017,51,,,
05 Dajabón,2017,51,,,
06 Duarte,2017,51,,,
07 Elías Piña,2017,51,,,
08 El Seibo,2017,51,,,
09 Espaillat,2017,51,,,
10 Independencia,2017,51,,,
11 La Altagracia,2017,51,,,
12 La Romana,2017,51,,,
13 La Vega,2017,51,,,
14 María Trinidad Sánchez,2017,51,,,
15 Monte Cristi,2017,51,,,
16 Pedernales,2017,51,,,
17 Peravia,2017,51,,,
18 Puerto Plata,2017,51,,,
19 Hermanas Mirabal,2017,51,,,
20 Samaná,2017,51,,,
21 San Cristóbal,2017,51,,,
22 San Juan,2017,51,,,
23 San Pedro de Macorís,2017,51,,,
24 Sánchez Ramírez,2017,51,,,
25 Santiago,2017,51,,,
26 Santiago Rodríguez,2017,51,,,
27 Valverde,2017,51,,,
28 Monseñor Nouel,2017,51,,,
29 Monte Plata,2017,51,,,
30 Hato Mayor,2017,51,,,
31 San José de Ocoa,2017,51,,,
32 Santo Domingo,2017,51,,,
01 Distrito Nacional,2017,52,,,
02 Azua,2017,52,,,
03 Baoruco,2017,52,,,
04 Barahona,2017,52,,,
05 Dajabón,2017,52,,,
06 Duarte,2017,52,,,
07 Elías Piña,2017,52,,,
08 El Seibo,2017,52,,,
09 Espaillat,2017,52,,,
10 Independencia,2017,52,,,
11 La Altagracia,2017,52,,,
12 La Romana,2017,52,,,
13 La Vega,2017,52,,,
14 María Trinidad Sánchez,2017,52,,,
15 Monte Cristi,2017,52,,,
16 Pedernales,2017,52,,,
17 Peravia,2017,52,,,
18 Puerto Plata,2017,52,,,
19 Hermanas Mirabal,2017,52,,,
20 Samaná,2017,52,,,
21 San Cristóbal,2017,52,,,
22 San Juan,2017,52,,,
23 San Pedro de Macorís,2017,52,,,
24 Sánchez Ramírez,2017,52,,,
25 Santiago,2017,52,,,
26 Santiago Rodríguez,2017,52,,,
27 Valverde,2017,52,,,
28 Monseñor Nouel,2017,52,,,
29 Monte Plata,2017,52,,,
30 Hato Mayor,2017,52,,,
31 San José de Ocoa,2017,52,,,
32 Santo Domingo,2017,52,,,
01 Distrito Nacional,2018,1,,,
02 Azua,2018,1,,,
03 Baoruco,2018,1,,,
04 Barahona,2018,1,,,
05 Dajabón,2018,1,,,
06 Duarte,2018,1,,,
07 Elías Piña,2018,1,,,
08 El Seibo,2018,1,,,
09 Espaillat,2018,1,,,
10 Independencia,2018,1,,,
11 La Altagracia,2018,1,,,
12 La Romana,2018,1,,,
13 La Vega,2018,1,,,
14 María Trinidad Sánchez,2018,1,,,
15 Monte Cristi,2018,1,,,
16 Pedernales,2018,1,,,
17 Peravia,2018,1,,,
18 Puerto Plata,2018,1,,,
19 Hermanas Mirabal,2018,1,,,
20 Samaná,2018,1,,,
21 San Cristóbal,2018,1,,,
22 San Juan,2018,1,,,
23 San Pedro de Macorís,2018,1,,,
24 Sánchez Ramírez,2018,1,,,
25 Santiago,2018,1,,,
26 Santiago Rodríguez,2018,1,,,
27 Valverde,2018,1,,,
28 Monseñor Nouel,2018,1,,,
29 Monte Plata,2018,1,,,
30 Hato Mayor,2018,1,,,
31 San José de Ocoa,2018,1,,,
32 Santo Domingo,2018,1,,,
01 Distrito Nacional,2018,2,,,
02 Azua,2018,2,,,
03 Baoruco,2018,2,,,
04 Barahona,2018,2,,,
05 Dajabón,2018,2,,,
06 Duarte,2018,2,,,
07 Elías Piña,2018,2,,,
08 El Seibo,2018,2,,,
09 Espaillat,2018,2,,,
10 Independencia,2018,2,,,
11 La Altagracia,2018,2,,,
12 La Romana,2018,2,,,
13 La Vega,2018,2,,,
14 María Trinidad Sánchez,2018,2,,,
15 Monte Cristi,2018,2,,,
16 Pedernales,2018,2,,,
17 Peravia,2018,2,,,
18 Puerto Plata,2018,2,,,
19 Hermanas Mirabal,2018,2,,,
20 Samaná,2018,2,,,
21 San Cristóbal,2018,2,,,
22 San Juan,2018,2,,,
23 San Pedro de Macorís,2018,2,,,
24 Sánchez Ramírez,2018,2,,,
25 Santiago,2018,2,,,
26 Santiago Rodríguez,2018,2,,,
27 Valverde,2018,2,,,
28 Monseñor Nouel,2018,2,,,
29 Monte Plata,2018,2,,,
30 Hato Mayor,2018,2,,,
31 San José de Ocoa,2018,2,,,
32 Santo Domingo,2018,2,,,
01 Distrito Nacional,2018,3,,,
02 Azua,2018,3,,,
03 Baoruco,2018,3,,,
04 Barahona,2018,3,,,
05 Dajabón,2018,3,,,
06 Duarte,2018,3,,,
07 Elías Piña,2018,3,,,
08 El Seibo,2018,3,,,
09 Espaillat,2018,3,,,
10 Independencia,2018,3,,,
11 La Altagracia,2018,3,,,
12 La Romana,2018,3,,,
13 La Vega,2018,3,,,
14 María Trinidad Sánchez,2018,3,,,
15 Monte Cristi,2018,3,,,
16 Pedernales,2018,3,,,
17 Peravia,2018,3,,,
18 Puerto Plata,2018,3,,,
19 Hermanas Mirabal,2018,3,,,
20 Samaná,2018,3,,,
21 San Cristóbal,2018,3,,,
22 San Juan,2018,3,,,
23 San Pedro de Macorís,2018,3,,,
24 Sánchez Ramírez,2018,3,,,
25 Santiago,2018,3,,,
26 Santiago Rodríguez,2018,3,,,
27 Valverde,2018,3,,,
28 Monseñor Nouel,2018,3,,,
29 Monte Plata,2018,3,,,
30 Hato Mayor,2018,3,,,
31 San José de Ocoa,2018,3,,,
32 Santo Domingo,2018,3,,,
01 Distrito Nacional,2018,4,,,
02 Azua,2018,4,,,
03 Baoruco,2018,4,,,
04 Barahona,2018,4,,,
05 Dajabón,2018,4,,,
06 Duarte,2018,4,,,
07 Elías Piña,2018,4,,,
08 El Seibo,2018,4,,,
09 Espaillat,2018,4,,,
10 Independencia,2018,4,,,
11 La Altagracia,2018,4,,,
12 La Romana,2018,4,,,
13 La Vega,2018,4,,,
14 María Trinidad Sánchez,2018,4,,,
15 Monte Cristi,2018,4,,,
16 Pedernales,2018,4,,,
17 Peravia,2018,4,,,
18 Puerto Plata,2018,4,,,
19 Hermanas Mirabal,2018,4,,,
20 Samaná,2018,4,,,
21 San Cristóbal,2018,4,,,
22 San Juan,2018,4,,,
23 San Pedro de Macorís,2018,4,,,
24 Sánchez Ramírez,2018,4,,,
25 Santiago,2018,4,,,
26 Santiago Rodríguez,2018,4,,,
27 Valverde,2018,4,,,
28 Monseñor Nouel,2018,4,,,
29 Monte Plata,2018,4,,,
30 Hato Mayor,2018,4,,,
31 San José de Ocoa,2018,4,,,
32 Santo Domingo,2018,4,,,
01 Distrito Nacional,2018,5,,,
02 Azua,2018,5,,,
03 Baoruco,2018,5,,,
04 Barahona,2018,5,,,
05 Dajabón,2018,5,,,
06 Duarte,2018,5,,,
07 Elías Piña,2018,5,,,
08 El Seibo,2018,5,,,
09 Espaillat,2018,5,,,
10 Independencia,2018,5,,,
11 La Altagracia,2018,5,,,
12 La Romana,2018,5,,,
13 La Vega,2018,5,,,
14 María Trinidad Sánchez,2018,5,,,
15 Monte Cristi,2018,5,,,
16 Pedernales,2018,5,,,
17 Peravia,2018,5,,,
18 Puerto Plata,2018,5,,,
19 Hermanas Mirabal,2018,5,,,
20 Samaná,2018,5,,,
21 San Cristóbal,2018,5,,,
22 San Juan,2018,5,,,
23 San Pedro de Macorís,2018,5,,,
24 Sánchez Ramírez,2018,5,,,
25 Santiago,2018,5,,,
26 Santiago Rodríguez,2018,5,,,
27 Valverde,2018,5,,,
28 Monseñor Nouel,2018,5,,,
29 Monte Plata,2018,5,,,
30 Hato Mayor,2018,5,,,
31 San José de Ocoa,2018,5,,,
32 Santo Domingo,2018,5,,,
01 Distrito Nacional,2018,6,,,
02 Azua,2018,6,,,
03 Baoruco,2018,6,,,
04 Barahona,2018,6,,,
05 Dajabón,2018,6,,,
06 Duarte,2018,6,,,
07 Elías Piña,2018,6,,,
08 El Seibo,2018,6,,,
09 Espaillat,2018,6,,,
10 Independencia,2018,6,,,
11 La Altagracia,2018,6,,,
12 La Romana,2018,6,,,
13 La Vega,2018,6,,,
14 María Trinidad Sánchez,2018,6,,,
15 Monte Cristi,2018,6,,,
16 Pedernales,2018,6,,,
17 Peravia,2018,6,,,
18 Puerto Plata,2018,6,,,
19 Hermanas Mirabal,2018,6,,,
20 Samaná,2018,6,,,
21 San Cristóbal,2018,6,,,
22 San Juan,2018,6,,,
23 San Pedro de Macorís,2018,6,,,
24 Sánchez Ramírez,2018,6,,,
25 Santiago,2018,6,,,
26 Santiago Rodríguez,2018,6,,,
27 Valverde,2018,6,,,
28 Monseñor Nouel,2018,6,,,
29 Monte Plata,2018,6,,,
30 Hato Mayor,2018,6,,,
31 San José de Ocoa,2018,6,,,
32 Santo Domingo,2018,6,,,
01 Distrito Nacional,2018,7,,,
02 Azua,2018,7,,,
03 Baoruco,2018,7,,,
04 Barahona,2018,7,,,
05 Dajabón,2018,7,,,
06 Duarte,2018,7,,,
07 Elías Piña,2018,7,,,
08 El Seibo,2018,7,,,
09 Espaillat,2018,7,,,
10 Independencia,2018,7,,,
11 La Altagracia,2018,7,,,
